school_name,postal_code,mainlevel_code,latitude,longitude
CANBERRA PRIMARY SCHOOL,757714,PRIMARY,1.451250243715436,103.8158588589283
CANBERRA SECONDARY SCHOOL,757699,SECONDARY (S1-S5),1.453190863159718,103.8142035838178
CANOSSA CATHOLIC PRIMARY SCHOOL,387621,PRIMARY,1.326644245448396,103.8822279648518
CANTONMENT PRIMARY SCHOOL,88256,PRIMARY,1.275472526232034,103.8399626317482
CASUARINA PRIMARY SCHOOL,518935,PRIMARY,1.372460639280005,103.9570202861143
CATHOLIC HIGH SCHOOL,579767,MIXED LEVEL (P1-S4),1.354525170657562,103.8449008048039
CATHOLIC JUNIOR COLLEGE,297822,JUNIOR COLLEGE,1.324556057832193,103.8350288423532
CEDAR GIRLS' SECONDARY SCHOOL,349692,SECONDARY (S1-S4),1.333758002163343,103.8739330648855
CEDAR PRIMARY SCHOOL,349700,PRIMARY,1.335660843562641,103.8756200625899
CHANGKAT CHANGI SECONDARY SCHOOL,529894,SECONDARY (S1-S5),1.339506300728762,103.9532455255639
CHANGKAT PRIMARY SCHOOL,529896,PRIMARY,1.340231639516331,103.9520801140343
CHIJ (KATONG) PRIMARY,424821,PRIMARY,1.306485352770875,103.9111056204962
CHIJ (KELLOCK),99757,PRIMARY,1.275022722964019,103.8281575648959
CHIJ KATONG CONVENT,449150,SECONDARY (S1-S5),1.306442680348951,103.9171443500279
CHIJ OUR LADY OF GOOD COUNSEL,558979,PRIMARY,1.357429522696155,103.8640093973725
CHIJ OUR LADY OF THE NATIVITY,534793,PRIMARY,1.373302971401289,103.8975757283031
CHIJ OUR LADY QUEEN OF PEACE,679287,PRIMARY,1.366603668560997,103.7674122046017
CHIJ PRIMARY (TOA PAYOH),319765,PRIMARY,1.332752647115879,103.8418472637856
CHIJ SECONDARY (TOA PAYOH),319764,SECONDARY (S1-S5),1.332460799483043,103.8432716250826
CHIJ ST. JOSEPH'S CONVENT,548595,SECONDARY (S1-S5),1.39175222260368,103.9024649915428
CHIJ ST. NICHOLAS GIRLS' SCHOOL,569405,MIXED LEVEL (P1-S4),1.373476878789176,103.8342532694353
CHIJ ST. THERESA'S CONVENT,99138,SECONDARY (S1-S5),1.275351775100545,103.8224407016418
CHONGFU SCHOOL,768959,PRIMARY,1.438395628970071,103.8393091738164
CHONGZHENG PRIMARY SCHOOL,529392,PRIMARY,1.350611305685559,103.9513172975512
