station_name,station_code,line,opening_date,latitude,longitude
Dover,EW22,East-West Line,2001-10-18,1.31140529320963,103.778637841909
Downtown,DT17,Downtown Line,2013-12-22,1.27944638178916,103.852840829581
Esplanade,CC3,Circle Line,2010-04-17,1.2936577245386,103.855081226245
Eunos,EW7,East-West Line,1989-11-04,1.31978354916088,103.903225807255
Expo,CG1/DT35,East-West Line/Downtown Line,2001-01-10,1.33454977824817,103.961548211018
Farrer Park,NE8,North East Line,2003-06-20,1.31190557325774,103.853477716509
Farrer Road,CC20,Circle Line,2011-10-08,1.31743915158967,103.807379214161
Fort Canning,DT20,Downtown Line,2017-10-21,1.29248194822996,103.844331362465
Gardens by the Bay,TE22,Thomson-East Coast Line,2022-11-13,1.27848725876303,103.867454664421
Geylang Bahru,DT24,Downtown Line,2017-10-21,1.32130110228321,103.871622627142
Great World,TE15,Thomson-East Coast Line,2022-11-13,1.29394816169384,103.833720837731
Gul Circle,EW30,East-West Line,2017-06-16,1.31947090075208,103.660530461345
HarbourFront,NE1/CC29,North East Line/Circle Line,2003-06-20,1.26538938374901,103.821530157095
Havelock,TE16,Thomson-East Coast Line,2022-11-13,1.28850523975311,103.833585838226
Haw Par Villa,CC25,Circle Line,2011-10-08,1.28257135772488,103.781752725064
Hillview,DT3,Downtown Line,2015-12-27,1.36234486803558,103.767418254007
Holland Village,CC21,Circle Line,2011-10-08,1.31224029631595,103.796399122407
Hougang,NE14,North East Line,2003-06-20,1.37129226620797,103.892380513029
Hume,DT4,Downtown Line,2025-02-28,1.3545953239503,103.769118851887
Jalan Besar,DT22,Downtown Line,2017-10-21,1.3051713878069,103.855295713435
Joo Koon,EW29,East-West Line,2009-02-28,1.3277170408447,103.678374996165
Jurong East,NS1/EW24,North-South Line/East-West Line,1988-11-05,1.3330275154394,103.742370487607
Kaki Bukit,DT28,Downtown Line,2017-10-21,1.33496735995428,103.908459338046
Kallang,EW10,East-West Line,1989-11-04,1.31148890998818,103.871386541754
